% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 13:26"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
1.4043478260869567E-6,3.0E-6,1.4087498532064904-8.880795025102641E-11i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,4.198437191457899E-12,0.027707087069661438
1.4043478260869567E-6,4.0E-6,1.4240366946816594+1.304638621067539E-9i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,7.062115914440269E-12,0.016471899672783646
1.4043478260869567E-6,4.9999999999999996E-6,1.4314785703354844-4.999440781551282E-14i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,1.0669135739628217E-11,0.010903082279491405
1.4043478260869567E-6,5.999999999999999E-6,1.4356508502143301+2.825641639987543E-12i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,1.5019826436426226E-11,0.007744860788678144
1.4043478260869567E-6,7.0E-6,1.4382271361418466+2.8337271461892417E-10i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,2.011683967653514E-11,0.005782541725771935
1.4043478260869567E-6,8.0E-6,1.439927829515236+3.551797318699281E-10i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,2.5960412520659236E-11,0.004480917424854344
1.4608695652173913E-6,1.0E-6,1.1932784819529534-8.549964420566306E-12i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,6.689017635641159E-13,0.16717811881215167
1.4608695652173913E-6,2.0E-6,1.362754967056112-7.981094240574524E-12i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,2.100758720292979E-12,0.053231119510566145
1.4608695652173913E-6,3.0E-6,1.405314474548925-6.119667311766484E-11i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,4.236552586131214E-12,0.026395456265278634
1.4608695652173913E-6,4.0E-6,1.421716522640379+9.121274644633365E-10i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,7.111187898395549E-12,0.01572532467156578
1.4608695652173913E-6,4.9999999999999996E-6,1.4297158751565626-2.2491840437717706E-14i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,1.0728781456754338E-11,0.01042296731959055
1.4608695652173913E-6,5.999999999999999E-6,1.4342060712368632+5.22999290818673E-13i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,1.509013244265646E-11,0.0074105206781799335
1.4608695652173913E-6,7.0E-6,1.4369807016545642+1.9830239938210802E-10i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,2.01974462468581E-11,0.0055366276080658005
1.4608695652173913E-6,8.0E-6,1.4388134605925713+1.980376616034872E-10i,2.0521507541666666E14,1.4608695652173913E-6,1.4450773383088176,2.6051316656898627E-11,0.004292517724748744
1.5173913043478261E-6,1.0E-6,1.1794858466783413-6.196760217102619E-11i,1.9757096085959884E14,1.5173913043478261E-6,1.4444134093643268,6.773077009872506E-13,0.15895332312185645
1.5173913043478261E-6,2.0E-6,1.3564327795728002+5.161354324375846E-11i,1.9757096085959884E14,1.5173913043478261E-6,1.4444134093643268,2.126754885877412E-12,0.0506218702319012
